id,snac_resource_url,type,title,display_entry,abstract,link,extent,repo_ic_id,related_constellation_id,related_name,arcrole,related_constellation_url
7891461,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/7891461,696,"Correspondence with Henry Charles Lea, 1899.","Philadelphia College Settlement. Correspondence with Henry Charles Lea, 1899.",Comprises 3 items from John Rodman Paul and 2 items from Lea. ,http://www.worldcat.org/oclc/63556455,5 items (5 leaves).,76787723,75725468,"Paul, John Rodman, 1852-1941",creatorOf,http://snac-dev.iath.virginia.edu/view/75725468
,,,,,,,,,51369541,Philadelphia College Settlement.,creatorOf,http://snac-dev.iath.virginia.edu/view/51369541
6830188,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/6830188,696,Franklin Furnace artist file : miscellaneous uncataloged material.,"DAVIS, DOUGLAS. Franklin Furnace artist file : miscellaneous uncataloged material.",,http://www.worldcat.org/oclc/145340861,1 folder,76775855,48951560,"Davis, Douglas",creatorOf,http://snac-dev.iath.virginia.edu/view/48951560
8167810,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/8167810,696,Mad about the boy.,"Winding, Kai, 1922-1983. Mad about the boy.",,http://www.worldcat.org/oclc/766587876,,76761939,32980752,"Winding, Kai",creatorOf,http://snac-dev.iath.virginia.edu/view/32980752
,,,,,,,,,16059513,"Katz, Dick",creatorOf,http://snac-dev.iath.virginia.edu/view/16059513
,,,,,,,,,786518,"Hinton, Milt",creatorOf,http://snac-dev.iath.virginia.edu/view/786518
,,,,,,,,,6797660,"Harewood, Al",creatorOf,http://snac-dev.iath.virginia.edu/view/6797660
7666977,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/7666977,696,Mutt and Jeff endless file. [1913-1926],"Fisher, Bud, 1885-1954. Mutt and Jeff endless file.",,http://www.worldcat.org/oclc/53314851,1 v. (unpaged) : chiefly ill. ; 25 x 46 cm.,76778502,43009858,"Fisher, Bud, 1885-1954",creatorOf,http://snac-dev.iath.virginia.edu/view/43009858
7636808,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/7636808,696,"Hallie Flanagan Davis papers, 1938-1964.","Flanagan, Hallie, 1890-1969. Hallie Flanagan Davis papers, 1938-1964.","Contains biographical materials, correspondence, photographs, speeches and writings. ",http://www.worldcat.org/oclc/51249172,5 linear in. (1 box),76782221,22226963,Smith College.,referencedIn,http://snac-dev.iath.virginia.edu/view/22226963
,,,,,,,,,55872489,"Flanagan, Hallie, 1890-1969",creatorOf,http://snac-dev.iath.virginia.edu/view/55872489
,,,,,,,,,42931508,Vassar College.,referencedIn,http://snac-dev.iath.virginia.edu/view/42931508
,,,,,,,,,27132270,Grinnell College,referencedIn,http://snac-dev.iath.virginia.edu/view/27132270
7517671,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/7517671,696,Artist file.,"Bates, David, 1952-. Artist file.",,http://www.worldcat.org/oclc/431599259,1 folder.,76762593,59175163,"Bates, David, 1952-....",creatorOf,http://snac-dev.iath.virginia.edu/view/59175163
