Source-CPFAnchor-ID	SNAC-CPFAnchor-ID	Role	ArcRole	Source-CPFTarget-ID	SNAC-CPFTarget-ID
nypl2019.24325.r001		corporateBody	associatedWith	nypl2019.24325.c01	
nypl2019.24325.r002		corporateBody	associatedWith	nypl2019.24325.c01	
nypl2019.24325.c01		person	associatedWith	nypl2019.24325.r001	
nypl2019.24325.c01		person	associatedWith	nypl2019.24325.r002	
nypl2019.24078.c01		person	associatedWith	nypl2019.24078.r001	
nypl2019.24078.c01		person	associatedWith	nypl2019.24078.r002	
nypl2019.24078.c01		corporateBody	associatedWith	nypl2019.24078.r003	
nypl2019.24078.c01		corporateBody	associatedWith	nypl2019.24078.r004	
nypl2019.24078.r001		person	associatedWith	nypl2019.24078.c01	
nypl2019.24078.r002		person	associatedWith	nypl2019.24078.c01	
nypl2019.24078.r003		person	associatedWith	nypl2019.24078.c01	
nypl2019.24078.r004		person	associatedWith	nypl2019.24078.c01	
nypl2019.23930.c01		person	correspondedWith	nypl2019.23930.r001	
nypl2019.23930.r001		person	correspondedWith	nypl2019.23930.c01	
nypl2019.24508.c01		person	associatedWith	nypl2019.24508.r001	
nypl2019.24508.c01		corporateBody	associatedWith	nypl2019.24508.r002	
nypl2019.24508.r001		person	associatedWith	nypl2019.24508.c01	
nypl2019.24508.r002		person	associatedWith	nypl2019.24508.c01	
nypl2019.24680.c01		person	associatedWith	nypl2019.24680.r001	
nypl2019.24680.r001		person	associatedWith	nypl2019.24680.c01	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r001	
nypl2019.25777.c01		person	correspondedWith	nypl2019.25777.r002	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r003	
nypl2019.25777.c01		person	correspondedWith	nypl2019.25777.r004	
nypl2019.25777.c01		person	correspondedWith	nypl2019.25777.r005	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r006	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r007	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r008	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r009	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r010	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r011	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r012	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r013	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r014	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r015	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r016	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r017	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r018	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r019	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r020	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r021	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r022	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r023	
nypl2019.25777.c01		person	associatedWith	nypl2019.25777.r024	
nypl2019.25777.c01		corporateBody	associatedWith	nypl2019.25777.r025	
nypl2019.25777.c01		corporateBody	associatedWith	nypl2019.25777.r026	
nypl2019.25777.c01		corporateBody	associatedWith	nypl2019.25777.r027	
nypl2019.25777.r001		person	associatedWith	nypl2019.25777.c01	
nypl2019.25777.r002		person	correspondedWith	nypl2019.25777.c01	
nypl2019.25777.r003		person	associatedWith	nypl2019.25777.c01	
nypl2019.25777.r004		person	correspondedWith	nypl2019.25777.c01	
nypl2019.25777.r005		person	correspondedWith	nypl2019.25777.c01	
nypl2019.25777.r006		person	associatedWith	nypl2019.25777.c01	
nypl2019.25777.r007		person	associatedWith	nypl2019.25777.c01	
nypl2019.25777.r008		person	associatedWith	nypl2019.25777.c01	
nypl2019.25777.r009		person	associatedWith	nypl2019.25777.c01	
